id,landmark,lat,lon,station_name
298,13252,41.955927,-87.679259,Lincoln Ave & Belle Plaine Ave
299,13127,41.94367,-87.64895,Halsted St & Roscoe St
300,13137,41.937725,-87.644095,Broadway & Barry Ave
301,13200,41.907993,-87.631501,Clark St & Schiller St
302,13211,41.928712,-87.653833,Sheffield Ave & Wrightwood Ave
303,13278,41.945529,-87.646439,Broadway & Cornelia Ave
304,13325,41.949074,-87.648636,Broadway & Waveland Ave
305,13241,41.902893,-87.687275,Western Ave & Division St
306,13374,41.958494,-87.654966,Sheridan Rd & Buena Ave
307,13186,41.920771,-87.663712,Southport Ave & Clybourn Ave
308,13144,41.943403,-87.679618,Seeley Ave & Roscoe St
309,13286,41.917805,-87.682437,Leavitt St & Armitage Ave
310,13288,41.920082,-87.677855,Damen Ave & Charleston St
311,13237,41.968885,-87.684001,Leavitt St & Lawrence Ave
312,13379,41.957879,-87.649519,Clarendon Ave & Gordon Ter
313,13147,41.925858,-87.638973,Lakeview Ave & Fullerton Pkwy
314,13251,41.957921,-87.673567,Ravenswood Ave & Berteau Ave
315,13255,41.912919,-87.664169,Elston Ave & Wabansia Ave
316,13315,41.96325,-87.679258,Damen Ave & Sunnyside Ave
317,13285,41.869154,-87.671045,Wood St & Taylor St
318,13321,41.954177,-87.664358,Southport Ave & Irving Park Rd
319,13294,41.932595,-87.665939,Greenview Ave & Diversey Pkwy
320,13332,41.872187,-87.661501,Loomis St & Lexington St
321,13054,41.870769,-87.625734,Wabash Ave & 9th St
322,13397,41.799568,-87.594747,Kimbark Ave & 53rd St
323,13384,41.969517,-87.654691,Sheridan Rd & Lawrence Ave
324,13276,41.93132,-87.638742,Stockton Dr & Wrightwood Ave
325,13392,41.973345,-87.667682,Clark St & Winnemac Ave
326,13239,41.967096,-87.667429,Clark St & Leland Ave
327,13188,41.92154,-87.653818,Sheffield Ave & Webster Ave
328,13365,41.788746,-87.601334,Ellis Ave & 58th St
329,13347,41.932684,-87.63625,Lake Shore Dr & Diversey Pkwy
330,13077,41.946176,-87.673308,Lincoln Ave & Addison St
331,13176,41.908537,-87.648627,Halsted St & Blackhawk St (*)
332,13208,41.933666,-87.648959,Halsted St & Diversey Pkwy
333,13224,41.907066,-87.667252,Ashland Ave & Blackhawk St
334,13233,41.940775,-87.639192,Lake Shore Dr & Belmont Ave
335,13345,41.831379,-87.618034,Calumet Ave & 35th St
336,13422,41.809855,-87.606755,Cottage Grove Ave & 47th St
337,13303,41.896544,-87.630931,Clark St & Chicago Ave
338,13102,41.857611,-87.619407,Calumet Ave & 18th St
339,13404,41.838198,-87.645143,Emerald Ave & 31st St
340,13209,41.929546,-87.643118,Clark St & Wrightwood Ave
341,13431,41.866095,-87.607267,Adler Planetarium
342,13284,41.871262,-87.673688,Wolcott Ave & Polk St
343,13297,41.928887,-87.658971,Racine Ave & Wrightwood Ave
344,13026,41.96909,-87.674237,Ravenswood Ave & Lawrence Ave
345,13119,41.793242,-87.587782,Lake Park Ave & 56th St
346,13353,41.88283,-87.661206,Ada St & Washington Blvd
347,13319,41.950687,-87.6687,Ashland Ave & Grace St
348,13096,41.854016,-87.695445,California Ave & 21st St
349,13210,41.929143,-87.649077,Halsted St & Wrightwood Ave
350,13247,41.895966,-87.667747,Ashland Ave & Chicago Ave
351,13440,41.803038,-87.606615,Cottage Grove Ave & 51st St
352,15493,41.77351755125,-87.5771428255,Jeffery Blvd & 67th St
353,15561,42.01256011541,-87.6743671152,Clark St & Touhy Ave
354,15562,42.01058656284,-87.6624120948,Sheridan Rd & Greenleaf Ave
355,15494,41.773643,-87.567514,South Shore Dr & 67th St
356,15495,41.7664929373,-87.5864608775,Stony Island Ave & 71st St
359,15524,41.90348607004,-87.6433534936,Larrabee St & Division St
364,15527,41.90021949323,-87.6429854676,Larrabee St & Oak St
365,15528,41.89936843921,-87.6484798752,Halsted St & North Branch St
366,15441,41.84163253965,-87.6574349533,Loomis St & Archer Ave
367,15446,41.83069611252,-87.6559759116,Racine Ave & 35th St
368,15442,41.83920868403,-87.6656098589,Ashland Ave & Archer Ave
369,15694,41.83010465416,-87.6702983089,Wood St & 35th St
370,15546,41.85418424947,-87.6191537415,Calumet Ave & 21st St
373,15661,41.89546530305,-87.7061278837,Kedzie Ave & Chicago Ave
374,15662,41.89841768945,-87.6865960164,Western Ave & Walton St
375,15663,41.889727,-87.70103,Sacramento Blvd & Franklin Blvd
376,15664,41.88949181977,-87.6882193648,Artesian Ave & Hubbard St
377,15665,41.88460328501,-87.7063037436,Kedzie Ave & Lake St
378,15666,41.88445395657,-87.6962981368,California Ave & Lake St
381,15667,41.8797877089,-87.686112808,Western Ave & Monroe St
382,15668,41.87474885079,-87.6864452757,Western Ave & Congress Pkwy
383,15669,41.874293,-87.667284,Ashland Ave & Harrison St
384,15591,41.80183164049,-87.645213904,Halsted St & 51st St
385,15592,41.794982,-87.633124,Princeton Ave & Garfield Blvd
386,15593,41.79292964599,-87.6449900565,Halsted St & 56th St
388,15595,41.77938114228,-87.6446208145,Halsted St & 63rd St
390,15596,41.78007963264,-87.6297463052,Wentworth Ave & 63rd St
391,15597,41.76906172032,-87.6446135779,Halsted St & 69th St
392,15598,41.76929308995,-87.6281959291,Perry Ave & 69th St
393,15599,41.76550800581,-87.616917925,Calumet Ave & 71st St
394,15551,41.870816,-87.631246,Clark St & 9th St (AMLI)
395,15499,41.75712006802,-87.5758393587,Jeffery Blvd & 76th St
396,15500,41.758768,-87.56644,Yates Blvd & 75th St
397,15501,41.75874583706,-87.5601147813,Saginaw Ave & Exchange Ave
398,15502,41.75787144829,-87.54938625,Rainbow Beach
399,15506,41.76218896038,-87.55927465,South Shore Dr & 74th St
400,15507,41.76571903697,-87.604959713,Cottage Grove Ave & 71st St
401,15443,41.842733,-87.635491,Shields Ave & 28th Pl
402,15444,41.838464,-87.635406,Shields Ave & 31st St
403,15445,41.83452988563,-87.6318229814,Wentworth Ave & 33rd St
405,15447,41.830777,-87.632504,Wentworth Ave & 35th St
406,15448,41.83127423549,-87.6087991946,Lake Park Ave & 35th St
407,15449,41.82301523798,-87.6265680185,State St & Pershing Rd
408,15450,41.819102,-87.643278,Union Ave & Root St
409,15451,41.81620767856,-87.6348193497,Shields Ave & 43rd St
410,15452,41.81665889302,-87.6194124619,Prairie Ave & 43rd St
411,15453,41.80813391481,-87.6456165545,Halsted St & 47th Pl
412,15454,41.80931770924,-87.633449288,Princeton Ave & 47th St
413,15455,41.81409271048,-87.5970051479,Woodlawn Ave & Lake Park Ave
414,15550,41.870257,-87.639474,Canal St & Taylor St
415,15470,41.80229465088,-87.6180535802,Calumet Ave & 51st St
416,15471,41.805772,-87.592464,Dorchester Ave & 49th St
417,15472,41.802406,-87.586924,Cornell Ave & Hyde Park Blvd
418,15473,41.79933626261,-87.6009581145,Ellis Ave & 53rd St
419,15474,41.79949429373,-87.5864498959,Lake Park Ave & 53rd St
420,15475,41.79430062054,-87.6014497734,Ellis Ave & 55th St
421,15476,41.79342945658,-87.6158532619,MLK Jr Dr & 56th St (*)
422,15477,41.79156801058,-87.6078521774,DuSable Museum
423,15478,41.791478,-87.599861,University Ave & 57th St
424,15479,41.79172820953,-87.583945009,Museum of Science and Industry
425,15480,41.78794281287,-87.5883151702,Harper Ave & 59th St
426,15481,41.78509714636,-87.6010727606,Ellis Ave & 60th St
427,15482,41.78059901484,-87.606112388,Cottage Grove Ave & 63rd St
428,15484,41.7804056457,-87.5914159893,Dorchester Ave & 63rd St
429,15485,41.77372095205,-87.60563486,Cottage Grove Ave & 67th St
430,15486,41.78008063659,-87.6159428567,MLK Jr Dr & 63rd St
431,15487,41.78414169317,-87.6133078304,Eberhart Ave & 61st St
432,15563,42.009074,-87.67419,Clark St & Lunt Ave
433,15680,41.87359967462,-87.7048707493,Kedzie Ave & Harrison St
434,15681,41.86650148316,-87.68469707,Ogden Ave & Roosevelt Rd
435,15682,41.86649278172,-87.7064961757,Kedzie Ave & Roosevelt Rd
436,15683,41.866624,-87.694521,Fairfield Ave & Roosevelt Rd
437,15684,41.861894,-87.693511,Washtenaw Ave & Ogden Ave (*)
438,15685,41.85420431327,-87.7154058381,Central Park Ave & Ogden Ave
439,15686,41.85353363213,-87.7050730318,Kedzie Ave & 21st St
440,15687,41.8498819465,-87.7170003853,Lawndale Ave & 23rd St
441,15688,41.84819094491,-87.7054137458,Kedzie Ave & 24th St
442,15689,41.84910969176,-87.6951398068,California Ave & 23rd Pl
443,15690,41.84456684891,-87.7159103081,Millard Ave & 26th St
444,15691,41.84447501366,-87.7020130128,Albany Ave & 26th St
445,15692,41.84404003127,-87.6952959227,California Ave & 26th St
446,15693,41.84151770807,-87.6851314409,Western Ave & 28th St
447,15564,42.00797192287,-87.6655023944,Glenwood Ave & Morse Ave
448,15565,42.00454962194,-87.6806661451,Warren Park East
449,15566,42.00445062934,-87.6724024047,Clark St & Columbia Ave
450,15567,42.001785,-87.688829,Warren Park West
451,15568,42.00104377979,-87.6611982433,Sheridan Rd & Loyola Ave
452,15569,41.99416136902,-87.689438282,Western Ave & Granville Ave
453,15570,41.99925182186,-87.6713773393,Clark St & Schreiber Ave
454,15571,41.9947796884,-87.6602845349,Broadway & Granville Ave
455,15572,41.99023602867,-87.6933696402,Maplewood Ave & Peterson Ave
456,15573,41.991178,-87.683593,2112 W Peterson Ave
457,15574,41.99089374974,-87.6695833982,Clark St & Elmdale Ave
458,15575,41.98974251144,-87.6601406209,Broadway & Thorndale Ave
459,15576,41.98403669612,-87.6523104689,Lakefront Trail & Bryn Mawr Ave
460,15577,41.983593,-87.669154,Clark St & Bryn Mawr Ave
461,15578,41.9840446107,-87.6602738295,Broadway & Ridge Ave
462,15579,41.97977021745,-87.6758147283,Ravenswood Ave & Balmoral Ave
463,15580,41.9779966544,-87.6680471047,Clark St & Berwyn Ave
464,15581,41.97561480459,-87.6794590387,Damen Ave & Foster Ave
465,15582,41.9716,-87.650154,Marine Dr & Ainslie St
466,15583,42.01213227742,-87.6829126443,Ridge Blvd & Touhy Ave
467,15584,42.0085943972,-87.6904922389,Western Ave & Lunt Ave
468,15585,41.98366470886,-87.6964225611,Budlong Woods Library
469,15611,41.98039423475,-87.7161149615,St. Louis Ave & Balmoral Ave
470,15612,41.975672,-87.709261,Kedzie Ave & Foster Ave
471,15613,41.97563272521,-87.7014194389,Francisco Ave & Foster Ave
472,15614,41.97491129677,-87.6925025594,Lincoln Ave & Winona St
474,15615,41.96835449363,-87.7118306675,Christiana Ave & Lawrence Ave
475,15616,41.968987,-87.696027,Washtenaw Ave & Lawrence Ave
476,15617,41.96668636205,-87.7080519806,Kedzie Ave & Leland Ave
477,15618,41.96631752876,-87.7010826773,Manor Ave & Leland Ave
478,15619,41.96590013976,-87.6936384935,Rockwell St & Eastwood Ave
